Program Time [s],data 0,on/off
8.03698,2592,0
8.04322,2583,0
8.04949,2576,0
8.05576,2569,0
8.06198,2554,0
8.06826,2548,0
8.07448,2545,0
8.08073,2542,0
8.08697,2533,0
8.09325,2530,0
8.09945,2527,0
8.10571,2521,0
8.11198,2619,0
8.11822,2612,0
8.1245,2608,0
8.13077,2603,0
8.13699,2599,0
8.14322,2595,0
8.1495,2586,0
8.15577,2578,0
8.162,2576,0
8.16821,2574,0
8.1745,2559,0
8.18075,2554,0
8.18697,2549,0
8.19321,2544,0
8.19948,2538,0
8.2058,2529,0
8.21198,2520,0
8.21821,2514,0
8.22449,2512,0
8.23073,2508,0
8.23698,2576,0
8.2432,2573,0
8.24948,2551,0
8.25572,2555,0
8.26199,2549,0
8.26821,2546,0
8.27449,2543,0
8.2807,2541,0
8.28698,2533,0
8.29321,2528,0
8.29948,2525,0
8.30573,2519,0
8.31199,2514,0
8.31827,2507,0
8.32449,2500,0
8.33074,2495,0
8.337,2492,0
8.34321,2482,0
8.34944,2479,0
8.35571,2474,0
8.36197,2467,0
8.36822,2461,0
8.37447,2455,0
8.38077,2451,0
8.38702,2448,0
8.39327,2443,0
8.39949,2439,0
8.40573,2433,0
8.41198,2429,0
8.41822,2419,0
8.42445,2416,0
8.43072,2411,0
8.43699,2403,0
8.44321,2399,0
8.44946,2395,0
8.45581,2388,0
8.462,2384,0
8.4682,2375,0
8.47444,2369,0
8.4807,2363,0
8.487,2437,0
8.4932,2431,0
8.49946,2419,0
8.50573,2421,0
8.512,2413,0
8.51822,2414,0
8.52448,2405,0
8.53069,2401,0
8.53699,2384,0
8.54321,2388,0
8.54943,2384,0
8.55568,2384,0
8.562,2373,0
8.56823,2368,0
8.57444,2364,0
8.58072,2356,0
8.58692,2352,0
8.5932,2347,0
8.59943,2337,0
8.60567,2332,0
8.61197,2274,0
8.61822,2269,0
8.62444,2266,0
8.6307,2259,0
8.63695,2256,0
8.64324,2250,0
8.64947,2242,0
8.6557,2240,0
8.66195,2235,0
8.66822,2226,0
8.67445,2225,0
8.68072,2221,0
8.68695,2219,0
8.69318,2209,0
8.69948,2203,0
8.70572,2192,0
8.71194,2190,0
8.71817,2181,0
8.72445,2180,0
8.73072,2172,0
8.73695,2126,0
8.74317,2122,0
8.74947,2114,0
8.75573,2110,0
8.76195,2105,0
8.7682,2100,0
8.7745,2095,0
8.78072,2090,0
8.78695,2082,0
8.79321,2074,0
8.79943,2071,0
8.80571,2066,0
8.81193,2064,0
8.8182,2059,0
8.82452,2047,0
8.8307,2047,0
8.83694,2035,0
8.84321,2032,0
8.84949,2025,0
8.8557,2019,0
8.86194,2127,0
8.86822,2117,0
8.87446,2112,0
8.88071,2107,0
8.88695,2103,0
8.89321,2097,0
8.89943,2096,0
8.9057,2091,0
8.91194,2101,0
8.91818,2059,0
8.92446,2067,0
8.93073,2071,0
8.93694,2064,0
8.94317,2060,0
8.94944,2058,0
8.9557,2053,0
8.96193,2038,0
8.96821,2034,0
8.97451,2032,0
8.98071,2026,0
8.98693,1950,0
8.99317,1943,0
8.99949,1937,0
9.00569,1931,0
9.01194,1926,0
9.01818,1925,0
9.02444,1918,0
9.03068,1915,0
9.03694,1895,0
9.04316,1898,0
9.04945,1898,0
9.05567,1889,0
9.06194,1886,0
9.0682,1881,0
9.0745,1874,0
9.08067,1872,0
9.08694,1862,0
9.09317,1862,0
9.09945,1855,0
9.10568,1844,0
9.11194,2016,0
9.1182,2012,0
9.12451,2004,0
9.13073,2003,0
9.13694,1999,0
9.14318,1995,0
9.14945,1990,0
9.15568,1984,0
9.16193,1981,0
9.1682,1971,0
9.17448,1969,0
9.18069,1968,0
9.18696,1966,0
9.19317,1958,0
9.19946,1955,0
9.20568,1951,0
9.21193,1942,0
9.21815,1941,0
9.22448,1943,0
9.23068,1934,0
9.2369,1963,0
9.24316,1958,0
9.24948,1948,0
9.25566,1947,0
9.2619,1937,0
9.26817,1934,0
9.27444,1930,0
9.28066,1927,0
9.28693,1921,0
9.29316,1911,0
9.29948,1911,0
9.30571,1909,0
9.31194,1904,0
9.3182,1898,0
9.32446,1895,0
9.33066,1886,0
9.33689,1887,0
9.34318,1879,0
9.34943,1875,0
9.35566,1872,0
9.36189,1987,0
9.36816,1983,0
9.37449,1979,0
9.38067,1968,0
9.38697,1968,0
9.39316,1965,0
9.39947,1959,0
9.40566,1951,0
9.41189,1945,0
9.41814,1938,0
9.42443,1936,0
9.43066,1930,0
9.43691,1925,0
9.44316,1921,0
9.44947,1917,0
9.45566,1913,0
9.46189,1905,0
9.46816,1904,0
9.47451,1900,0
9.48066,1893,0
9.4869,2109,0
9.49315,2101,0
9.49946,2097,0
9.50564,2091,0
9.51189,2087,0
9.51817,2081,0
9.52449,2080,0
9.53063,2070,0
9.5369,2064,0
9.54317,2065,0
9.54951,2060,0
9.55564,2054,0
9.56193,2047,0
9.56814,2041,0
9.5745,2035,0
9.58063,2033,0
9.5869,2031,0
9.59316,2022,0
9.5995,2026,0
9.60567,2016,0
9.6119,2127,0
9.61816,2123,0
9.62449,2115,0
9.63069,2112,0
9.6369,2107,0
9.64315,2101,0
9.64948,2097,0
9.65563,2095,0
9.6619,2089,0
9.66816,2082,0
9.67447,2087,0
9.68066,2071,0
9.6869,2066,0
9.69313,2064,0
9.69947,2061,0
9.7057,2057,0
9.71189,2047,0
9.71811,2039,0
9.72448,2037,0
9.73066,2036,0
9.73691,2154,0
9.74317,2146,0
9.74944,2142,0
9.75573,2137,0
9.76191,2131,0
9.76812,2127,0
9.77444,2124,0
9.78061,2116,0
9.7869,2112,0
9.79317,2108,0
9.79948,2103,0
9.80568,2095,0
9.8119,2096,0
9.81822,2087,0
9.82448,2086,0
9.83067,2082,0
9.83689,2073,0
9.84316,2074,0
9.84948,2064,0
9.85564,2060,0
9.8619,2130,0
9.86816,2128,0
9.87444,2121,0
9.88066,2113,0
9.8869,2112,0
9.89313,2106,0
9.89948,2101,0
9.90566,2097,0
9.91188,2093,0
9.91812,2089,0
9.92448,2083,0
9.93063,2078,0
9.93689,2074,0
9.94316,2070,0
9.94943,2064,0
9.95562,2064,0
9.96189,2058,0
9.96817,2055,0
9.97448,2054,0
9.98066,2043,0
9.98689,2123,0
9.99314,2118,0
9.99946,2114,0
10.0057,2109,0
10.0119,2103,0
10.0182,2099,0
10.0245,2096,0
10.0307,2087,0
10.0369,2082,0
10.0431,2077,0
10.0495,2077,0
10.0557,2068,0
10.0619,2065,0
10.0682,2063,0
10.0745,2059,0
10.0806,2053,0
10.0869,2043,0
10.0932,2037,0
10.0994,2033,0
10.1057,2032,0
10.1119,2231,0
10.1181,2224,0
10.1245,2223,0
10.1306,2222,0
10.1369,2218,0
10.1431,2210,0
10.1494,2205,0
10.1557,2202,0
10.1619,2196,0
10.1681,2192,0
10.1744,2191,0
10.1806,2186,0
10.1869,2182,0
10.1931,2181,0
10.1995,2176,0
10.2056,2178,0
10.2119,2165,0
10.2181,2159,0
10.2245,2158,0
10.2306,2155,0
10.2368,2339,0
10.2431,2326,0
10.2496,2320,0
10.2556,2320,0
10.2619,2322,0
10.2681,2315,0
10.2745,2315,0
10.2806,2309,0
10.2869,2300,0
10.2931,2298,0
10.2995,2290,0
10.3056,2288,0
10.3118,2286,0
10.3181,2283,0
10.3245,2277,0
10.3306,2271,0
10.3369,2266,0
10.3431,2265,0
10.3495,2260,0
10.3556,2256,0
10.3619,2495,0
10.3681,2490,0
10.3745,2485,0
10.3807,2480,0
10.3869,2478,0
10.3931,2473,0
10.3994,2467,0
10.4056,2463,0
10.4119,2455,0
10.4181,2451,0
10.4245,2447,0
10.4306,2446,0
10.4369,2444,0
10.4431,2439,0
10.4495,2435,0
10.4556,2432,0
10.4619,2422,0
10.4681,2419,0
10.4744,2416,0
10.4806,2416,0
10.4869,2631,0
10.4931,2624,0
10.4995,2621,0
10.5056,2614,0
10.5119,2609,0
10.5181,2605,0
10.5245,2601,0
10.5306,2596,0
10.5368,2593,0
10.5431,2588,0
10.5495,2593,0
10.5556,2578,0
10.5618,2576,0
10.5681,2574,0
10.5745,2569,0
10.5806,2558,0
10.5868,2553,0
10.5931,2549,0
10.5995,2547,0
10.6056,2544,0
10.6119,2684,0
10.6181,2677,0
10.6245,2672,0
10.6306,2671,0
10.6369,2662,0
10.6431,2657,0
10.6495,2652,0
10.6556,2640,0
10.6619,2640,0
10.6681,2640,0
10.6744,2634,0
10.6806,2629,0
10.6869,2622,0
10.6931,2622,0
10.6995,2618,0
10.7056,2612,0
10.7119,2608,0
10.7181,2607,0
10.7245,2603,0
10.7306,2596,0
10.7369,2903,0
10.7431,2896,0
10.7495,2896,0
10.7556,2887,0
10.7619,2882,0
10.7681,2876,0
10.7745,2870,0
10.7806,2869,0
10.7869,2864,0
10.7931,2858,0
10.7995,2852,0
10.8056,2848,0
10.8119,2842,0
10.8181,2837,0
10.8245,2833,0
10.8306,2830,0
10.8369,2829,0
10.8431,2823,0
10.8495,2818,0
10.8556,2815,0
10.8618,2928,0
10.8681,2930,0
10.8745,2918,0
10.8806,2909,0
10.8868,2905,0
10.8931,2903,0
10.8995,2896,0
10.9056,2893,0
10.9118,2889,0
10.9181,2883,0
10.9245,2875,0
10.9306,2871,0
10.9369,2865,0
10.9431,2864,0
10.9495,2859,0
10.9556,2853,0
10.9619,2848,0
10.9681,2843,0
10.9745,2837,0
10.9806,2834,0
10.9868,3187,0
10.9931,3186,0
10.9995,3178,0
11.0056,3170,0
11.0118,3167,0
11.0181,3163,0
11.0245,3152,0
11.0306,3148,0
11.0368,3141,0
11.0431,3135,0
11.0495,3129,0
11.0556,3122,0
11.062,3119,0
11.0681,3112,0
11.0744,3105,0
11.0806,3104,0
11.0869,3088,0
11.0931,3087,0
11.0995,3083,0
11.1056,3078,0
11.1118,3291,0
11.1181,3284,0
11.1245,3279,0
11.1306,3274,0
11.1368,3267,0
11.1431,3265,0
11.1494,3254,0
11.1556,3249,0
11.1618,3247,0
11.1681,3239,0
11.1744,3233,0
11.1806,3229,0
11.1869,3226,0
11.1931,3221,0
11.1995,3216,0
11.2056,3211,0
11.2118,3203,0
11.2181,3197,0
11.2244,3190,0
11.2306,3189,0
11.2369,3342,0
11.2431,3333,0
11.2495,3327,0
11.2556,3321,0
11.2618,3315,0
11.2681,3311,0
11.2744,3303,0
11.2806,3299,0
11.2869,3287,0
11.2931,3284,0
11.2994,3280,0
11.3056,3280,0
11.3119,3277,0
11.3181,3266,0
11.3245,3265,0
11.3307,3259,0
11.3369,3255,0
11.3431,3248,0
11.3494,3243,0
11.3556,3239,0
11.3619,3413,0
11.3681,3408,0
11.3744,3403,0
11.3806,3401,0
11.3868,3388,0
11.3931,3386,0
11.3994,3378,0
11.4056,3376,0
11.4118,3361,0
11.4181,3359,0
11.4244,3354,0
11.4306,3349,0
11.4368,3344,0
11.4431,3341,0
11.4494,3331,0
11.4556,3328,0
11.4618,3326,0
